genes	logFC.time1h.treatSW	logFC.time2h.treatSW	logFC.time6h.treatSW	logFC.time24h.treatSW	logCPM	F	PValue	FDR
Calr	-0.0758502178451781	0.419481796772809	1.07241207233176	0.842716185616535	10.3030476919978	25.1044611995457	3.33314688990815e-09	1.12993679567886e-06
Smoc1	0.164001820633267	0.382354492256685	1.63839912237421	0.56335065953805	5.75354004879768	24.9274200977511	3.61149870645195e-09	1.18734282480529e-06
Midn	0.963684282552864	0.977257113172318	0.12032938339293	-0.257626554427674	7.5145623886035	24.9189754521201	3.6253804618078e-09	1.18734282480529e-06
Acvr1c	-0.0565563447890654	-0.324455685039551	-0.696415148432765	-1.0824048580987	7.03078112309054	24.8450998036758	3.74927520113994e-09	1.20745407852712e-06
Rgs4	0.178250042196482	1.16493065499857	0.729341519874947	-0.415754706915575	7.4708462561402	24.7955106429628	3.83496708412829e-09	1.2148044092887e-06
Spry2	0.499134975164174	1.6832195820133	1.02778688355334	0.131049967200943	4.72059723481336	24.5315939974488	4.32755593738287e-09	1.34873166738789e-06
Ddit3	1.32846875426617	2.69059757268001	2.3391882560174	0.417585436923591	4.84517593604974	24.3380482817854	4.7315008126188e-09	1.45121889209894e-06
Slc30a4	0.00441671180604195	0.732769473887644	0.934857940903758	0.330061842430659	7.26836621222572	23.5607988037286	6.80748320096179e-09	2.05532809206539e-06
Kcnip1	-0.134162733148095	0.0723237899280635	1.30715767849276	0.41373823440279	6.69025372250368	23.267770409828	7.82619851653701e-09	2.3265482143853e-06
Plk3	0.389731842868194	0.914868129283779	0.744256912780848	-0.445150845570874	7.4119408405831	22.8438404630892	9.59780367015598e-09	2.80997515633976e-06
Slc7a11	0.579008191159976	2.83256176164936	3.13860357251392	0.805661000942652	3.77910205784198	22.6789915285252	1.03982131015871e-08	2.9988756979398e-06
Pdia6	-0.0799238209042533	0.519454482586622	1.35306270610004	0.99411026952466	8.55289823055122	22.5727579547895	1.0951522326999e-08	3.11200391065591e-06
Per1	1.13777360338	1.45405766025695	-0.0160673075087755	-0.0912087790276638	6.9789078113878	22.4291411650564	1.17499712997363e-08	3.26030035803571e-06
Ostc	-0.160609017506718	0.22822864243018	0.90856273516972	0.715254227323822	7.29820726535394	22.4186212391785	1.18108484739688e-08	3.26030035803571e-06
Slc35c1	-0.0772371934212977	0.160943641762771	0.821690129055615	0.740447401636929	5.7065299391005	22.3444158135393	1.22499329522177e-08	3.33387963993947e-06
Rrbp1	-0.22762392259022	0.0801750131551769	0.649823230768849	0.674630088733832	7.55570147326416	22.3000615979677	1.25206674223751e-08	3.36023411947992e-06
