genes	logFC.time1h.treatTg	logFC.time2h.treatTg	logFC.time6h.treatTg	logFC.time24h.treatTg	logCPM	F	PValue	FDR
Atf4	0.709042553159029	1.50934756739519	1.88770364284671	2.16078561395657	8.35796112765498	70.0193604961902	4.93417333016086e-16	2.74937331823226e-13
Chchd10	0.0738113875304905	-0.000206620639554119	-0.4200759463911	1.41692618198181	5.98598529489659	69.0522424421068	6.09792422877971e-16	3.31070378513286e-13
Tars	0.0188450314805034	0.360709059217725	1.56591127500273	1.79875407010617	6.6231101376893	68.6180069143263	6.70895041807097e-16	3.55138290380587e-13
Herpud1	0.156496029413026	0.959163748848026	1.76288650319789	2.25991303857592	7.18760714611843	68.3121979465872	7.17775802278164e-16	3.7068743505946e-13
Slc7a2	0.0203186750189559	-0.109102561509348	-0.642357924853669	-1.77833635645619	9.32765371181029	66.9654881468773	9.70157905219426e-16	4.89098178217051e-13
Stbd1	0.373660240643903	0.20362630618814	2.5579779813794	3.76148322794962	4.30269787798665	65.8848643882597	1.2581148508505e-15	6.19519159346707e-13
Lars	-0.098873252153156	0.263836225196081	1.22421430503669	1.71304579193378	6.74618764315339	64.4644075461484	1.7231782380779e-15	8.29240363933214e-13
Atf3	1.129802608787	2.39018539284662	3.336324000833	4.01060793546909	4.71142258391901	64.22940642711	1.84044138258538e-15	8.65989018552508e-13
Lonp1	-0.112958975464284	0.0536429018311603	0.709213533204346	1.53436263059414	7.18373439916905	63.9435790672614	1.94659540325602e-15	8.96026327577023e-13
Eprs	-0.0151373330427054	0.202610252199072	1.46076985648019	1.72386729882339	8.63327789254764	63.6915564038016	2.06544023969602e-15	9.30502800751564e-13
Gtpbp2	-0.135898056057469	-0.0525843431235118	1.16414456411979	2.02392878208786	6.47467967377686	62.8117404663509	2.54599391249965e-15	1.12310156465141e-12
Psat1	0.0363313299116634	0.473899769664317	1.82447432676456	1.44622748155085	7.89938876018248	61.139605077157	3.8125158683912e-15	1.64747369382276e-12
Arhgap24	0.0601750627405435	0.320286786937735	0.0772306010820484	-1.44091655334491	6.37546853662872	60.8769295223098	4.06677519614391e-15	1.72219796006302e-12
Aars	0.0294976943645553	0.378458335920223	1.56734755860853	1.539005623444	8.32493438107656	60.0040068332546	5.04400150663561e-15	2.09415074316671e-12
Hax1	0.0282469429904792	0.363722024049378	1.24576210410931	1.47924733728577	6.1359020602219	59.1118928411416	6.30730282387288e-15	2.56828519216701e-12
Ins1	-0.0708386031911486	-0.169695652847091	-1.22635634722259	-2.92828700087061	11.4076434497848	58.9200704032742	6.61738757643438e-15	2.64370876497022e-12
Anxa10	0.131911289438541	-0.762217802107273	0.694536028756001	4.96932045940043	3.74525961286878	58.925410236217	7.6729467549917e-15	3.00864767759619e-12
Gpt2	0.273045715824322	0.841915306573505	2.49346299988289	2.08415532010455	6.45952365880238	57.4969350370426	9.51808056780561e-15	3.66428796259483e-12
Gnpnat1	-0.100154844363268	0.137253495038054	1.05495483378289	1.98956068806427	5.2147675751379	57.2175921714106	1.02378075519333e-14	3.87013441435233e-12
Synpo2	0.0316415715832753	-0.268070216097492	-0.477067432168226	-2.54925074739596	5.31575498210853	57.0882954243612	1.0591114757218e-14	3.87013441435233e-12
Ccdc47	-0.101469577361507	-0.0356086201228059	0.524817213667876	1.351141963053	7.44774476993756	57.0790286336824	1.06011049415526e-14	3.87013441435233e-12
Stc1	0.0119901498121232	-0.295902086765911	-1.62683748103132	-2.00273533887302	6.38866603917635	56.3805848768861	1.27237544142045e-14	4.56631823671806e-12
Eif3c	-0.0528367338070742	0.0199703907644353	0.75832873789054	1.38574201758493	8.50240513368917	54.5660631923212	2.0608000712634e-14	7.27256345148853e-12
Cebpg	0.0666274261835992	0.619872627672092	1.71233615701663	1.75983590464708	7.39289374279825	54.5033239639401	2.0961238156324e-14	7.27595502822959e-12
Acot2	0.0403853333664105	0.0859412215364396	1.12360587023878	2.56687720204717	3.96863855304125	53.9243742761315	2.47234490082956e-14	8.44345660163953e-12
Fam171b	-0.0580217510342931	-0.124625180622313	-0.021636826580557	1.30715739391726	7.49256675210969	52.9580692393584	3.1975764642556e-14	1.07469022308172e-11
Lgi1	-0.068595843022258	-0.163820565136077	-0.58187143297441	-1.98726597040885	6.36852968395395	52.8598459717884	3.2864281833368e-14	1.08729422428083e-11
Wfs1	-0.0255439468241503	-0.254244151423583	0.350911596935088	1.26843542522328	6.38363166520418	52.7162855260235	3.41999259012698e-14	1.10947508982058e-11
Leprotl1	0.0295505905495915	0.0164595955328425	0.981626858107265	1.30606197494076	7.07269869066164	52.6756293180944	3.45826749448183e-14	1.10947508982058e-11
St8sia1	-0.0161443100990205	-0.232076685427096	-1.47712230037322	-2.20574301334754	5.35267954859757	52.4535160745611	3.68352519034208e-14	1.16410391612393e-11
Eif2s2	-0.165745839714026	0.366952282063825	1.29556487114879	1.19985799130107	7.12303626040036	52.0691405199789	4.09658194525831e-14	1.27560332513087e-11
Slc7a3	0.129542485485761	0.183208527557815	2.545893558595	3.91535035542888	4.00994377258284	51.2638829823691	5.26887913747438e-14	1.61685865009975e-11
Tmem27	-0.096625685908066	-0.310780076140151	-1.34658242236268	-1.46133734339501	7.2618083239117	50.8526970576452	5.78371080506544e-14	1.7321047682069e-11
Scd3	0.348542681509386	0.0488822497173029	0.285503769283714	2.66670220847972	3.77491198239431	50.8750662851573	5.80803998029139e-14	1.7321047682069e-11
Clic4	0.0258131362362711	0.223869871783324	1.40475085451575	1.33601369208499	8.06025323982264	50.6561798278299	6.11858332034345e-14	1.79937337812433e-11
Slitrk6	-0.135715798324482	-0.280378564863946	-1.2037214135724	-1.90085645273636	7.5683331874385	50.3674212702027	6.6495524118245e-14	1.90958617832287e-11
Dennd4a	-0.0376187137485174	-0.0150019145515425	1.0616229613051	1.44770156608522	6.75642800623377	50.3551882259216	6.67372141285977e-14	1.90958617832287e-11
Gars	0.0126196084123794	0.296047459420617	1.18792106569386	1.01515923893398	8.02966076617377	49.8797552889454	7.65889982574865e-14	2.16226059880536e-11
Tmem97	0.237451696166428	0.218048855730206	0.925192421604326	1.64338061787905	5.39232163507061	49.7470806082793	7.96601318416883e-14	2.21201788718166e-11
Dnajb9	0.0785057300380397	0.372748836178047	1.4346499657895	1.79817667058732	8.3958146319414	49.7114176403787	8.04408129370867e-14	2.21201788718166e-11
Shank2	-0.00190310227038633	-0.237799809685614	-0.81995794541016	-1.41542799050754	6.78937277540273	49.6262982062449	8.24775878500512e-14	2.23894928863716e-11
Heg1	0.0862875780129578	-0.250968408166349	-0.96213410781969	-1.40919283137497	7.3457445346309	49.4191053300674	8.76302722429391e-14	2.34871314490126e-11
Nptx1	-0.0626999759362086	-0.250395624821585	-1.00826869505237	-1.61068003922607	6.34639852395021	49.2553031905175	9.19694507544802e-14	2.43420143784421e-11
Slc16a3	-0.124163134692477	-0.525228470505753	-2.0585958665569	-1.53287123452191	7.13979633763159	48.9917664773224	9.93898877559336e-14	2.59812528807918e-11
Prlr	-0.00518013600316866	-0.0360827291191828	0.0187944533598586	-1.88475752182152	9.51241572065036	48.9056383230905	1.01937622330961e-13	2.63222831126313e-11
Erlin1	-0.0602082782603429	-0.0178389212624614	0.854878191449212	1.52280529681626	5.86505345910937	48.695975995826	1.08519113892274e-13	2.7411379649014e-11
3110043O21Rik	0.0049625208712263	-0.00696135461631059	0.588731190363037	1.68013719158977	5.32271713409493	48.6900424869483	1.08744492798582e-13	2.7411379649014e-11
Nupr1	-0.166241685215466	0.732935358300869	2.16422033415241	3.23196312110666	4.77189558460452	47.8855480489947	1.38757007498019e-13	3.45651867854478e-11
Atp1a3	0.162349543745141	-0.156682612689708	-0.63754233070664	-2.14708903576244	6.01023625701557	47.6743597710096	1.47403388519272e-13	3.62920854477566e-11
Igf2os	-0.0186891755583151	-0.0413855982977721	-0.569081427084347	-1.39526640631079	7.58479457771359	47.3852068702233	1.60835204483293e-13	3.89258108306816e-11
Gatsl2	-0.00130882337143883	-0.345699088752659	-0.913199936176991	-1.38429291135744	7.16023361332135	47.3661984990576	1.61777243463681e-13	3.89258108306816e-11
Hadh	0.0339863420904611	-0.173103867543373	-0.837830560100265	-1.85633802360008	7.9929165428024	47.1302118776021	1.73824284605909e-13	4.13545550814103e-11
Iars	0.0710799410330737	0.573941593725019	1.73956606355664	1.55140527054718	7.59470856228048	47.0678887912726	1.77167151111111e-13	4.16815250847407e-11
Arl14ep	0.0699158553583007	0.397806872968567	1.79811973034224	1.59794195704388	6.33731868923714	45.6677206390548	2.73327963900711e-13	6.35983110728974e-11
Glce	-0.119665567752326	-0.119488959542556	0.997523996133235	1.15664385561354	7.75052331417842	45.5102354332853	2.87103420141485e-13	6.60774762834326e-11
Slc6a9	0.520552545862383	0.927893805414406	3.14621975180796	3.28988266172453	4.48988347019853	45.1354714309234	3.25330325384349e-13	7.40703689213785e-11
Hspa12a	-0.0116841119529785	-0.215078119771343	-0.913118275140836	-1.67026964655763	7.56820855555366	44.953146239301	3.42363970976493e-13	7.71193055474071e-11
Hspa5	-0.0749164969391663	0.241673346507034	0.784874606813555	1.71274840609137	10.9024307712172	44.6814769136379	3.73270404822414e-13	8.31960794916821e-11
Nfil3	0.716394612711766	1.62235200334792	2.61277294415074	2.36570735792077	5.07739902682805	44.2887981693097	4.23933160482635e-13	9.35037577089512e-11
Nrip1	0.0191719942096473	0.358718562693917	1.17353972339338	2.39073361845026	5.4651265842079	43.7874965998448	4.98076632100909e-13	1.08724480495924e-10
Maob	-0.108493789117785	-0.299617408603013	-0.815586666298616	-2.33497427183128	8.56499517600488	43.6031289412224	5.28454060072671e-13	1.13139526236432e-10
Lrrc55	-0.0792265426485668	-0.296927847948442	-0.745670602268851	-1.92259591156195	6.31430812819882	43.6007369097691	5.28989000538715e-13	1.13139526236432e-10
Ttc28	0.166767304143646	-0.183369787475526	-0.975447171618546	-1.33581325140069	7.44439061520092	43.3559049633267	5.72886936441749e-13	1.21303079922176e-10
Mars	0.0248165292356364	0.25402762697804	1.35452082548727	1.04511898147207	6.57270634146428	42.2661020062273	8.2151380627234e-13	1.72225082514956e-10
Rcc2	0.060383591101348	0.064563705451498	1.09474492953244	1.15934223850616	7.55516939834204	42.1188337373407	8.62859598032401e-13	1.79119501262138e-10
Yars	-0.0458967237509282	0.401205540944957	1.39871088388372	1.32877022772098	6.80043245834354	41.9544408771825	9.11899748417467e-13	1.87461798766907e-10
Sprr1a	-0.169465276582629	-0.299784037080581	-0.275835292934362	3.22468352732173	3.73591390654211	41.9777258044203	9.27288070913458e-13	1.887922847454e-10
Rhbdd1	0.057973724959643	0.188530618674782	1.00171124606484	1.47618636064042	5.57169136873342	41.7819088957186	9.66762886912031e-13	1.94950667146724e-10
Bhlha15	-0.0960540210198475	0.6149306374369	1.67596363978998	2.45519028366661	4.70649458840163	41.7588385188507	9.75950255858728e-13	1.94950667146724e-10
Aard	0.00839564521384703	-0.180283232215041	-0.611250825922971	-2.35764850080714	7.0321055598569	41.6661246822027	1.00494661107983e-12	1.98866724700976e-10
Otub2	0.184279078321949	0.517471426775732	1.92032076300565	1.6325458618925	4.56297941075921	41.4757376370479	1.07378901436067e-12	2.10522301759934e-10
Gc	-0.206006141119794	0.409976422443187	-0.344193096098128	1.66986251508069	5.69851980197201	41.2644629465903	1.15212783480457e-12	2.23808759395889e-10
Pck2	0.073692761005112	0.513847003342428	1.51756567474999	1.3027985281624	6.49694910638908	41.1008475151099	1.21799327722722e-12	2.34452633200084e-10
