"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"Tg_0h"	"Tg_1h"	"Tg_24h"	"Tg_2h"	"Tg_6h"
"Cdk10"	4.37239446222484	4.45489946756062	4.30891153277531	4.13527834463356	4.3975905082644	4.37239446222484	4.31831924895817	4.76240416226888	4.2497145832569	4.81484489449937
"Cdk11b"	6.16727260501597	6.17860714968419	5.98017086874744	6.04798982898942	6.17561139838706	6.16727260501597	5.8206566214013	6.60653108442493	6.14228481749483	6.41492587676644
"Cdk12"	7.26379373196291	7.30501789991595	7.3277115509763	7.3997590190097	7.32119870620768	7.26379373196291	7.16834215356802	7.71377186669905	7.2909105478406	7.39502920940537
"Cdk13"	7.41759102108387	7.39265959339648	7.45456050061533	7.33124734120998	7.4167646367124	7.41759102108387	7.36962229837339	7.72238160292334	7.41088776952056	7.48676635515511
"Cdk14"	7.60739446202443	7.61801657901245	7.64182921700055	7.5104064623119	7.56732003709053	7.60739446202443	7.60108523250226	7.07070878314131	7.4222944656127	7.05725433302227
"Cdk15"	3.07057965288408	3.15426609387177	3.16954172919394	3.18012660362851	3.0284384888826	3.07057965288408	3.19747656598252	2.13164911167724	3.03995906565987	2.75381370520422
"Cdk16"	8.30414490845067	8.30228847326305	8.34819061276438	8.17553244608931	8.28088122989299	8.30414490845067	8.24167802459931	8.5109704337102	8.03176994789435	8.21006191827921
"Cdk17"	5.47946571411958	5.56186706109203	5.5272910883949	5.51551747150299	5.55793581334438	5.47946571411958	5.53669038747103	5.60272796274932	5.54743889333866	5.88460622876252
"Cdk18"	4.1096813830352	4.30942495151899	4.1407922871738	4.04717964434153	4.13058275008958	4.1096813830352	4.17325846161551	4.80303569191786	4.26366202744735	4.63871311043323
"Cdk19"	7.4545607101458	7.41368686188655	7.48927656376873	7.34647810958198	7.38480812117441	7.4545607101458	7.2803250810467	6.66488426663004	7.24362055530007	7.08824116461993
"Cdk2"	5.2180389976338	5.2916849627491	5.18844596797629	4.9897182250539	5.22418941887001	5.2180389976338	5.07455580528768	5.0437678853566	5.26023065618392	5.25251726285769
"Cdk20"	2.80765541601732	3.08974819000646	2.67983518454249	2.8030607699224	2.63627326083148	2.80765541601732	2.84408044310449	3.21073043290675	3.23776376011568	3.4777303587977
"Cdk2ap1"	4.08989157119687	3.82883411588547	4.08824292467101	3.54591280985553	3.94152461081293	4.08989157119687	3.92913342716903	3.85378182873086	3.67519707273189	3.56702827165153
"Cdk2ap2"	4.64578169028504	4.67704333413362	4.74641912812961	4.36101624160417	4.67664870321444	4.64578169028504	4.71178514963222	5.62422032577496	4.8522902242061	5.23788957313873
"Cdk3-ps"	0.129227950770293	-0.18355442286649	-0.179866386389692	-0.696117852145229	-0.434631819698431	0.129227950770293	0.829820452823687	-0.480418429308645	1.43224199482882	0.802904517965463
