genes	logFC.time1h.treatTg	logFC.time2h.treatTg	logFC.time6h.treatTg	logFC.time24h.treatTg	logCPM	F	PValue	FDR
Hspa5	-0.0761465410519722	0.241676317206456	0.78443314359831	1.71273628781994	10.9024307712172	66.6622632403716	1.34814881786051e-15	6.79659596889965e-13
Phf10	-0.137237731828768	0.387834254935277	1.80356028826707	1.86675642465511	6.45292001405114	66.0305764495973	1.55490426443832e-15	7.65663788260858e-13
Herpud1	0.145898666693788	0.959704387915933	1.75635682387257	2.26009124236706	7.18760714611843	65.4227987367533	1.78448691010254e-15	8.58743768966164e-13
Slc24a3	-0.0129354336996524	-0.139375452806908	0.213675777189907	1.84609702966236	5.48488841146444	64.7077445903699	2.10381797065348e-15	9.64424008335194e-13
Tars	0.0150331665974106	0.363171396375872	1.56127755915681	1.79870986607898	6.6231101376893	64.6479130370983	2.13171731823013e-15	9.64424008335194e-13
Eprs	-0.0223190451775148	0.20271493209723	1.45858364279366	1.72407136256523	8.63327789254764	64.6280730150913	2.14073525983537e-15	9.64424008335194e-13
Chchd10	0.0694458381056626	0.000526681813846504	-0.423412511952667	1.41652844653915	5.98598529489659	60.8886118436709	5.18659871194145e-15	2.28793835680517e-12
Lars	-0.10878355933483	0.264050210432559	1.21983126112475	1.71320456867421	6.74618764315339	59.8783194752496	6.63775908770202e-15	2.86832471271434e-12
Aars	0.021901717299053	0.378534055082877	1.56578031245468	1.53911769928863	8.32493438107656	59.586423851254	7.13198919899023e-15	3.02025478598838e-12
Lonp1	-0.119458413286389	0.0542845279088142	0.703869914137441	1.53428236560676	7.18373439916905	59.0317999535885	8.1858766369757e-15	3.39858337081027e-12
Psat1	0.0324600268300514	0.472178116287437	1.82219713468704	1.44610761691478	7.89938876018248	58.8216040514312	8.6265552893344e-15	3.51266695569936e-12
Synpo2	0.0301881255697932	-0.268077690325653	-0.482004702565859	-2.55014005018215	5.31575498210853	58.6588081110219	9.00059921925581e-15	3.59582429940609e-12
Anxa10	0.13300549509314	-0.763088066905002	0.696409556103149	4.96882207414373	3.74525961286878	58.3691426223303	1.11762760272792e-14	4.29931920782277e-12
Gtpbp2	-0.144525004935761	-0.0520826582405514	1.15759018140269	2.02416256033703	6.47467967377686	57.7914359583698	1.11882636059947e-14	4.29931920782277e-12
Arhgap24	0.0575250820224222	0.320745166896661	0.0709160972211782	-1.44167671412959	6.37546853662872	57.7274316653653	1.13706373683799e-14	4.29931920782277e-12
Eif3c	-0.0578279936165816	0.020226853622478	0.756359840479185	1.38569753111568	8.50240513368917	55.6662634213023	1.9356565243789e-14	7.19045460477171e-12
Hax1	0.0272368202259893	0.36408524473307	1.23915221432068	1.4785926584303	6.1359020602219	55.4720136916376	2.03787573916307e-14	7.43965187948945e-12
Prlr	-0.00753715017161948	-0.036153685932617	0.0165427537106014	-1.88574916793374	9.51241572065036	54.3450473127987	2.74728754356802e-14	9.79084401342463e-12
Gpt2	0.26709170599667	0.841918682019558	2.48662054419282	2.08458421095887	6.45952365880238	54.3100289285291	2.77439615002115e-14	9.79084401342463e-12
Stc1	0.00257384396483506	-0.296407562240858	-1.62300084975341	-2.00294465840913	6.38866603917635	54.1018279080919	2.93372622542219e-14	1.01833965732934e-11
Ccdc47	-0.106766349346596	-0.0343948396556501	0.521061629485673	1.35110409527932	7.44774476993756	52.9406626753034	4.01867007093576e-14	1.35691783515683e-11
Cebpg	0.0591810173144033	0.619508077031566	1.70476154638823	1.75988424415929	7.39289374279825	52.9239018188185	4.03730157810901e-14	1.35691783515683e-11
Gnpnat1	-0.100395701362436	0.138341916559823	1.04570886722981	1.98954057931956	5.2147675751379	52.5243661281056	4.51088258687983e-14	1.49239731085302e-11
Acot2	0.0400732321399275	0.0854801445489332	1.11741014909583	2.56624768222655	3.96863855304125	52.4050408100315	4.69456401072357e-14	1.52927228250863e-11
St8sia1	-0.0202651115344401	-0.230765343585937	-1.46930123349553	-2.20661256254874	5.35267954859757	51.7267771530751	5.63012747228348e-14	1.80624725906258e-11
Slc7a3	0.128977582765366	0.183662744861015	2.53396090137839	3.91618645282417	4.00994377258284	51.6906374739921	5.81516537982385e-14	1.8377658470506e-11
Pcsk2	-0.0264096952995789	-0.171315739368736	-0.609859306048775	-1.57435331736498	11.3863694463895	51.4250140143748	6.11730555872133e-14	1.90482099853479e-11
