"genes","logFC.time1h.treatSW","logFC.time2h.treatSW","logFC.time6h.treatSW","logFC.time24h.treatSW","logCPM","F","PValue","FDR"
"Nfkbiz",0.288784005449511,1.56771247885753,0.815848091918531,0.195486266188999,4.47394015382679,7.88157471779519,0.000168621421969684,0.00696211909555601
"Phf10",-0.0228716879543002,0.589718637349879,1.25191555970034,0.436410501882114,6.09927526955628,29.3610598067392,3.96699607867073e-10,1.56437275975826e-07
"LOC106740",0.0516093676341327,1.02404835852572,1.48311865624652,0.205187096905444,3.56650375103356,13.831961827185,1.42968900609441e-06,0.000137442192362001
"Tnfrsf12a",0.277173289263992,1.19038307170535,1.21614239175616,0.151902270647378,3.8217448883212,7.20793902720493,0.000320412014536562,0.0112569479216182
"Dusp1",1.68264560359263,0.589036590550741,0.0501033150363799,-0.553900252695343,5.83087452205499,29.9318963849856,3.1453105865539e-10,1.33211175026189e-07
"Sik1",1.26165986369994,1.09631757803633,0.256122523182325,-0.481176542244194,6.87731513262159,13.6979973876948,1.5629552243982e-06,0.000147321872200226
"Hspa1a",0.257298324827391,0.0393646583740022,1.33361579874459,-0.274449096893564,2.74922328242889,5.89869211092534,0.00120499064054653,0.0312614860919824
"Ier3",1.28018679671401,1.45762480138923,1.03988635495144,0.0705970486274438,3.15793567322662,10.6149999465537,1.58066596946747e-05,0.00102151199090368
"Egr1",2.23880709010682,0.955835628103135,-0.89998370133389,-1.28182311068919,7.76179275880089,36.2182723769488,2.9970360038709e-11,2.28625599273713e-08
"Hspa9",-0.0518203659336663,0.427592959114686,1.16782238734781,0.495298944506065,8.56642372066555,31.1948731641751,1.90362427048932e-10,9.43172609709364e-08
"Spry4",0.408486704633385,1.21263688501619,0.859758421824694,-0.433997329472359,4.33362603358029,9.53773172012256,3.84791349975272e-05,0.00210037380100909
"Pcyox1l",-0.595003564581537,-1.51779424678825,-0.672215438996107,0.203853118492812,3.3968247507843,10.7543678888577,1.41523361981058e-05,0.000943833574645175
"Nars",0.0967847234410981,0.688481078010641,1.3516690098504,0.36857906797907,7.26324449707261,38.9280913593813,1.20319875615528e-11,1.16247047825942e-08
"Npas4",2.53263405359441,2.27490103462363,1.41021685461534,0.0629240159373049,4.91698839034238,13.1967168171828,2.2272852823057e-06,0.000198331029999968
"Syvn1",0.0908505778145474,0.886041156912794,1.16088535768785,0.558669250588715,7.39894709625353,18.3123680626076,8.38092265741503e-08,1.42056639043185e-05
"Slc3a2",0.422961951147143,1.14284339250976,0.709375482334182,0.0603925188729805,7.17391715447571,21.4712189694803,1.48967337944439e-08,3.42678079892904e-06
"Dtx4",0.330552981365332,0.314622615050161,2.03234506132469,0.725280613350878,2.51554527548942,7.38561286418213,0.000272533662585559,0.00999272858091227
"Psat1",-0.0574654189869393,0.735963388361835,1.57286557001802,0.453670905326775,7.68635820687085,39.210330646507,1.09737485931168e-11,1.11603023191998e-08
"Aldh18a1",-0.108284128868543,0.590942295909608,1.35727999297725,0.689857041299788,6.58615405375782,25.9026999877376,1.7535754180761e-09,5.37846631801341e-07
"Gad2",0.00595000572308164,-0.00546153946703731,-0.384798848057176,-1.010834581127,4.41294527489169,8.93273381001632,6.49975379652732e-05,0.00322037801564865
"Hspa5",0.0923388604067645,1.05039709142121,1.81487938611615,0.709714743209773,10.9810163570657,39.9329290210089,8.69119243760558e-12,9.32999508176958e-09
"Nr4a2",2.05827104835744,2.07572083720779,-0.299872842196288,-1.30315977606418,6.44084712950654,29.0248889248353,4.55679763831304e-10,1.76102001530246e-07
"Acvr1c",-0.0467523476725166,-0.3215238865004,-0.707138138241108,-1.08408834705839,7.03078112309054,26.9261062778018,1.11256586160569e-09,3.7715982708433e-07
"Chac1",1.03906934645279,3.53439391088604,2.43476201750966,0.90157556932393,5.28015108653136,43.4620068469021,2.9276530022931e-12,3.53568993520685e-09
"Ovol2",0.696504149050798,1.09562123492662,-0.0278364714011685,-1.17885684446793,2.80440899281011,7.55347958102344,0.000231190764909036,0.00880341640027476
"Slc24a3",-0.152548047107892,0.151271090065032,1.03513197818637,0.481802401738424,5.30694201914035,16.046100564171,3.29546918317606e-07,4.45303154031546e-05
"Trib3",0.805143271548932,2.14814782787374,2.47188140414215,1.15508720587128,4.92271110561299,30.1599849329679,2.87423203486472e-10,1.26224512749298e-07
"Nnat",-0.262406661151693,-0.241271199120985,-0.443774442919432,-2.07912232742686,8.17688202040053,20.1335312182821,3.0247066016018e-08,6.08816725653663e-06
"Slc17a9",0.184654047340761,-0.465309742210162,1.46508500505591,1.84188701101271,2.49684857378337,7.97343301876906,0.000156501545116265,0.00660391090129494
"Hey1",0.589561401279284,1.00840500077304,-0.31244546918199,0.104857510971392,4.50640353718435,8.29277032323498,0.000115354455770057,0.00514779249155844
"Slc2a2",-0.225413895083462,-0.3087939989506,-1.11853052326429,-0.980694677446026,6.43540233417089,12.25508076959,4.41859992591683e-06,0.000352812423010293
"Slc7a11",0.592113512976645,2.81252118511438,3.08418449705203,0.821194435003269,3.77910205784198,18.9119961745382,6.03282372815699e-08,1.0997382348979e-05
"Phgdh",0.199869925533564,0.167392535297228,2.24730922641471,0.874884590432952,3.94594045364703,17.5331233219504,1.32959302548335e-07,2.07191338963022e-05
"Dennd2c",0.00546513552802505,1.49808124741264,0.423428002325803,0.00459932906249898,2.94354098311761,9.65775882959223,3.49389403756534e-05,0.00193445600251791
"Sars",-0.020418760858863,0.628090300580655,1.10069484925464,0.257428346095564,7.58387103123829,29.8884871516139,3.19963508814155e-10,1.33211175026189e-07
"Sec24d",-0.165791711660725,0.309259288173823,1.16470277648307,0.543414912589554,7.4103782904244,20.6682592455746,2.27008915629806e-08,4.92864413114016e-06
"Sgms2",-0.0665627888316115,0.751402138969771,1.04443133836696,0.157933406722095,6.8864749840801,31.7699832308788,1.52298042757785e-10,7.74435547423335e-08
"Lmo4",0.120062989421302,1.04702266461041,0.73796768268774,0.150959231527263,4.2983805541804,5.44054089618671,0.00195690373126265,0.0460015216535137
"Gem",1.64826779743115,1.31752167553615,0.650920703634807,-0.140213277061754,4.47209360564588,21.7946874799648,1.2631857001169e-08,3.01339966461221e-06
"Nr4a3",2.7262416889294,3.2972426583567,0.243749899773118,-1.60425705380614,5.98814070573147,46.2969911543979,1.28866371626437e-12,2.29748356161717e-09
"Klf4",1.74265140173468,1.37718460491147,0.185694963082134,-0.161220877198133,4.93346940228619,29.8603259548566,3.24014139948811e-10,1.33211175026189e-07
"Slc6a9",0.439861698875866,0.882651392315871,2.14212471491477,0.691452977405069,3.63046095456043,8.00774326195023,0.000150155215332909,0.00640496517853819
"Sesn2",0.0591824018834589,1.57194899391264,0.798408434903342,0.31554153546907,5.93359238359061,24.2367047984173,3.78873972069751e-09,1.09473536922896e-06
"Rhd",0.620233965561653,-1.14569026863736,0.306127909035535,1.19365460795698,1.70734691091122,6.5774223905511,0.000610147802725226,0.0188036459203501
"Srm",-0.101367213538843,0.319030882481191,1.27962347402274,0.656031817638132,5.31125852674289,19.9339800865448,3.37296860179042e-08,6.65059921350983e-06
"Errfi1",1.22566895695077,1.11730273413824,0.340233528206901,-0.145736046989169,6.89469115220586,15.2450994792143,5.50773914165719e-07,6.79432177933639e-05
"Per3",-0.249213864810218,-0.273236780545662,-1.31546361421014,0.229626783420162,5.66879774897817,12.1047852169697,4.94438874074355e-06,0.000388375705843039
"Fosl2",1.73332451653726,2.0192381271134,0.147854679467186,-0.530348015794579,7.32855247323143,79.5872137580124,8.18354732690377e-16,1.58130684997761e-11
"Ppargc1a",0.290144876932084,1.50473291662695,0.796291615615199,-0.125159596826588,5.52814540832391,37.3483434342892,2.03616600233376e-11,1.71064502883022e-08
"Lgi2",-0.286802785534619,-0.390476075376427,0.886531344995003,1.77800967118618,3.56980995773962,21.0336559373416,1.8863372492813e-08,4.28819937268971e-06
"Fam114a1",0.0390391019000784,0.239391279496981,0.401956900594515,1.03914347085358,5.69804253931765,16.6029519205824,2.32757050825722e-07,3.38162743842513e-05
"Csn3",0.00381345698287199,0.335864147728201,0.343285291442974,1.4229117530251,3.84170636634659,13.3403604909614,2.01427613356493e-06,0.00018359366853243
"Gc",-0.185236399733338,0.516290078548908,0.356834511782863,1.53554958580942,5.71338368655173,21.6870254502599,1.3332009665107e-08,3.14163930193736e-06
