"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"SW_0h"	"SW_1h"	"SW_24h"	"SW_2h"	"SW_6h"
"Trim67"	5.43567216065374	5.33615495927284	5.43858077341039	5.12318928529083	5.47336839454497	5.43567216065374	5.42432152030371	5.63606307258749	5.39691629711107	5.28646997193123
"Trim68"	2.07537178636592	2.07078881466439	2.07224459123051	1.79311800901133	2.13384772328368	2.07537178636592	2.37667159230632	2.34935101280983	1.89059876280267	2.03040605014582
"Trim69"	-3.44696766631911	-3.02871848822281	-3.44339163704695	-3.77550662904399	-3.09615982276032	-3.44696766631911	-3.12056089953968	-4.01811815273666	-2.04024003856465	-2.09388700042995
"Trim7"	1.81604428237904	2.1802389360921	2.06186149751048	2.29029576765302	1.98845374634144	1.81604428237904	1.91491871889337	2.54530609943683	1.93783421900978	2.19698649009335
"Trim71"	-2.35166008620823	-2.27795623216931	-3.23790602822193	-2.87191979265025	-3.1654601001627	-2.35166008620823	0.233522794381038	-2.66498005235679	-0.493811106937025	-2.34100649752147
"Trim72"	-1.4290955963094	-2.03643015250801	-2.59419878519386	-2.33445191419191	-2.50281108827834	-1.4290955963094	0.0915245545099863	-1.41894209771328	-0.935111463362212	-0.877140251323683
"Trim8"	6.19143327474414	6.27182914081659	6.22062635668152	6.16337224272822	6.208915402709	6.19143327474414	6.10232384414769	6.25139358429607	6.10790571874654	5.96958055480427
"Trim80"	-3.10340852194862	-2.25369660803806	-3.23790602822193	-2.93396101507724	-3.73122906744429	-3.10340852194862	-0.8965860122839	-3.28480015811393	-1.19499796715003	-1.60719587537663
"Trim9"	5.47161269484114	5.29460538941253	5.35461994643513	5.13104229876827	5.48722296610676	5.47161269484114	5.3725003062986	5.49911202582968	5.28016473303311	5.14698896293633
"Triml1"	-2.91727523488693	-2.9320163677045	-3.84849606818021	-4.01811815273666	-4.01811815273666	-2.91727523488693	-1.85981864745881	-3.38628311530948	-2.52818596936875	-2.5095376044336
"Trio"	7.80341799761661	7.73536723487876	7.75503208582522	7.69150476139527	7.70775163468456	7.80341799761661	7.50884458902191	7.5794426727336	7.81266057200141	7.82354292211193
"Triobp"	5.73109093347814	5.76881704811945	5.87952698605006	5.8348447574158	5.89221754259235	5.73109093347814	5.89557446643991	6.04234607352069	5.73736870902953	5.41823368201985
"Trip10"	1.58541328551909	1.58271982700125	1.11389181355036	1.57428115540399	1.35792595523203	1.58541328551909	2.48883611441905	1.80707209934094	1.75189008811952	1.63153478721951
"Trip11"	7.18972977429747	7.210578790004	7.21998149393743	7.19315807647572	7.16959157908347	7.18972977429747	7.00487878544077	7.18689919554527	7.26021053451539	7.3240252673713
"Trip12"	8.86797104614042	8.84463954180713	8.94050008986858	8.83664633356328	8.88321394169896	8.86797104614042	8.69242777100943	8.80803980887586	8.95200600187923	8.8085748082745
"Trip13"	3.68772754452632	3.71491493876146	3.69209081312126	3.9650796179359	3.83051104841033	3.68772754452632	3.64828550063617	3.41098526839759	3.61457209256707	3.79828986962786
"Trip4"	5.58053227398783	5.63148343028768	5.63519158746919	5.63196851280931	5.59851952455662	5.58053227398783	5.38115673349256	5.60177380296697	5.58238393145179	5.67650306306113
"Trip6"	0.783631562080251	1.20454075926197	0.431725353330151	-0.123053230869046	0.66203219425643	0.783631562080251	0.671784958927929	0.734278117454372	0.55449891957356	1.36024298938398
"Triqk"	2.46982618460107	2.59522458245122	2.81330336346117	2.39270711473463	2.68213867931821	2.46982618460107	2.67121728501128	3.04348226257095	2.60421275278196	2.43519349628228
"Trit1"	3.57362148475784	3.59316836175223	3.43450793895586	2.95828205512641	3.66822093638947	3.57362148475784	3.2417475603862	3.48743923691533	3.53672723216429	3.38365416546124
"Trmt1"	4.88645472589869	4.84338308272629	4.7219033060213	4.7235716881347	4.96644890129475	4.88645472589869	4.76062920194644	4.95558759337069	4.9036330969481	4.81834725162026
"Trmt10a"	3.35512735556726	3.38790730530149	3.15392541711189	3.31243671042911	3.25629452291171	3.35512735556726	3.28622946797162	3.41483633220374	3.33403102623883	3.61967479863412
"Trmt10b"	3.36514071314776	3.38257736417541	3.30151862705268	3.23854250891969	3.32153979420366	3.36514071314776	3.2531002438294	3.29249868971453	3.38434591910555	3.61908809982639
"Trmt10c"	4.53294279756796	4.67047371555315	4.6816739248995	4.18645678216804	4.62116296258365	4.53294279756796	4.59146506483414	4.60013988084533	4.88633350901561	4.87649062752907
"Trmt11"	3.91299953354086	4.08293193918034	4.05103636470343	4.00909072858708	4.03170535209487	3.91299953354086	3.77867217947899	3.98163567957263	4.02457427803849	4.13723800918436
"Trmt112"	4.47418769467507	4.63661975964039	4.64518642353748	4.63479678310437	4.68107458423229	4.47418769467507	4.59726283384337	4.74931565493041	4.60798306789415	4.79784129027642
"Trmt12"	4.26575276805774	4.14530480499834	4.13244745607257	4.35297505736322	4.14083110851977	4.26575276805774	3.8069132173369	4.13547860727214	4.09045130079211	4.16845164422343
"Trmt13"	3.66473639446762	3.51813683788029	3.43229378777954	3.70465105158363	3.47041198597244	3.66473639446762	3.47387361068052	3.41677472786112	3.62850943615774	3.79517014034202
"Trmt1l"	5.20433419455014	5.3814487000191	5.38503065648525	5.23007977675583	5.34443931115009	5.20433419455014	5.26027192673855	5.34938222008931	5.11126019046995	5.08944851489269
"Trmt2a"	6.45982003204841	6.42273681043827	6.37588824681936	6.39387292098599	6.45704609509929	6.45982003204841	6.30819974169516	6.4979715577336	6.46424953836172	6.39587280770938
"Trmt2b"	5.74027626032361	5.7250137226611	5.8716954167968	5.67522904590066	5.78297098326597	5.74027626032361	5.55772844866977	5.81649268008416	5.67967271630645	5.43881757914218
"Trmt44"	3.66094155176417	3.70052279012783	3.42301797827214	3.77365395164569	3.56773731035322	3.66094155176417	3.3805969360713	3.39700934506279	3.64193341748798	3.79324622278367
"Trmt5"	4.3761606198453	4.35313020576791	4.37674567120238	4.5666222085352	4.38046372913968	4.3761606198453	4.20690815690242	4.49277651331036	4.5187282816966	4.56237458373392
"Trmt6"	5.19116783193468	5.11320717376501	5.20172141722809	5.17330819355191	5.15001888909909	5.19116783193468	4.80162543000935	5.20449990472377	5.11337850258656	5.35305081467525
"Trmt61a"	2.71908450803229	2.59093161871824	2.7574510889825	2.52876940254651	2.75711819307172	2.71908450803229	3.28580682888342	3.14985055211338	3.1473432635202	3.96469883995724
