genes	logFC.time1h.treatSW	logFC.time2h.treatSW	logFC.time6h.treatSW	logFC.time24h.treatSW	logCPM	F	PValue	FDR
Atf3	2.784974077594	2.5017185705922	0.892743321943637	-0.200804213959936	3.95236666846764	34.986463601708	4.67572169833361e-11	2.91448291538388e-08
Sp8	0.0729958971877629	0.879404671315144	1.14903401513578	-0.363633904517414	6.41482831203879	33.8495708283057	6.97396834767577e-11	4.21118719944184e-08
Mthfd2	0.0695742872819049	0.937860248987605	1.2128289123461	0.20114431762511	6.29993745495772	33.6289820708013	7.56275872193741e-11	4.42833899345444e-08
Atf4	0.72291842821305	1.67364769262714	1.42334657757166	0.49878214454722	8.01444453198978	33.5257973374646	7.85377724009488e-11	4.46348640030451e-08
Hsp90b1	-0.0097377688276693	0.533362015843738	1.25813336157208	0.808944795450856	11.0367814261813	32.6039027493923	1.10797958691784e-10	6.11699701657528e-08
Dnajb11	-0.0711077724225103	0.511239270545043	1.14967564029731	0.529168146513222	7.48219798597976	32.3020124092098	1.24227799403646e-10	6.66792713299069e-08
Dnajb9	0.187457883520856	1.17945836479333	1.51876200188099	0.615536552642005	8.29045702082581	31.8323354875027	1.48672022829373e-10	7.74435547423335e-08
Sgms2	-0.0665627888316115	0.751402138969771	1.04443133836696	0.157933406722095	6.8864749840801	31.7699832308788	1.52298042757785e-10	7.74435547423335e-08
Hspa9	-0.0518203659336663	0.427592959114686	1.16782238734781	0.495298944506065	8.56642372066555	31.1948731641751	1.90362427048932e-10	9.43172609709364e-08
Manf	-0.00652890273303234	0.822809115792729	1.58173242903021	0.839191730608071	8.81854438688213	31.0685199866331	2.00016192117452e-10	9.66228220071382e-08
Ifrd1	0.510685018809752	1.39576592676733	0.790397732790694	0.0233897168764636	6.53972784472202	30.777770448402	2.24314303824856e-10	1.0571769006848e-07
Fkbp11	0.28513002686935	-0.323186612849441	1.77321441813271	2.20561516992951	3.05970100242767	30.6771711251241	2.39754330172847e-10	1.10304117188808e-07
Ppp1r15a	0.751224017486391	1.49279948190084	1.66874831871701	0.253228121906734	4.78591608993623	30.2181241416303	2.80596613286663e-10	1.26092287407865e-07
